Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note.1,Amount,Currency,Account.1
2021-11-21,CUB - online payment,Groceries,,Lunch,875.0,Expense,,17.5,USD,875.0
2021-11-21,CUB - online payment,General,,Rapido,130.0,Expense,,2.6,USD,130.0
2021-11-22,CUB - online payment,Groceries,,Dinner,90.0,Expense,,1.8,USD,90.0
2021-11-22,CUB - online payment,Groceries,,Lunch with company,97.0,Expense,,1.94,USD,97.0
2021-11-23,CUB - online payment,General,,Rapido,50.0,Expense,,1.0,USD,50.0
2021-11-23,CUB - online payment,Groceries,,Dinner,179.0,Expense,,3.58,USD,179.0
2021-11-24,CUB - online payment,Groceries,,Panipoori,20.0,Expense,,0.4,USD,20.0
2021-11-24,CUB - online payment,Groceries,,Dinner,70.0,Expense,,1.4,USD,70.0
2021-11-24,CUB - online payment,Groceries,,Snack,15.0,Expense,,0.3,USD,15.0
2021-11-24,CUB - online payment,General,,Rapido,58.0,Expense,,1.16,USD,58.0
2021-11-25,CUB - online payment,Groceries,,Dinner,95.0,Expense,,1.9,USD,95.0
2021-11-25,CUB - online payment,General,,Rapido,58.0,Expense,,1.16,USD,58.0
2021-11-25,CUB - online payment,Groceries,,Lunch with company,145.0,Expense,,2.9,USD,145.0
2021-11-26,CUB - online payment,Groceries,,Snack,102.0,Expense,,2.04,USD,102.0
2021-11-26,CUB - online payment,Groceries,,Beer,150.0,Expense,,3.0,USD,150.0
2021-11-26,CUB - online payment,Groceries,,Lunch with company,150.0,Expense,,3.0,USD,150.0
2021-11-26,CUB - online payment,Groceries,,Breakfast,60.0,Expense,,1.2,USD,60.0
2021-11-26,CUB - online payment,Groceries,,Panipoori,40.0,Expense,,0.8,USD,40.0
2021-11-27,CUB - online payment,Groceries,,Lunch with company,75.0,Expense,,1.5,USD,75.0
2021-11-27,CUB - online payment,General,,Rapido,35.0,Expense,,0.7,USD,35.0
2021-11-27,CUB - online payment,Groceries,,Dinner with gowdham,130.0,Expense,,2.6,USD,130.0
2021-11-27,CUB - online payment,Groceries,,Dinner with gowdham,120.0,Expense,,2.4,USD,120.0
2021-11-27,CUB - online payment,Groceries,,Breakfast,30.0,Expense,,0.6,USD,30.0
2021-11-28,CUB - online payment,Groceries,,Zomato,269.4,Expense,,5.388,USD,269.4
2021-11-28,CUB - online payment,Groceries,,Snack,94.0,Expense,,1.88,USD,94.0
2021-11-29,CUB - online payment,Groceries,,Breakfast,40.0,Expense,,0.8,USD,40.0
2021-11-29,CUB - online payment,Groceries,,Panipoori,40.0,Expense,,0.8,USD,40.0
2021-11-29,CUB - online payment,Groceries,,Dinner,50.0,Expense,,1.0,USD,50.0
2021-11-29,CUB - online payment,Groceries,,Lunch with company,40.0,Expense,,0.8,USD,40.0
2021-11-30,CUB - online payment,General,,Bharath birthday,115.0,Expense,,2.3,USD,115.0
2021-11-30,CUB - online payment,Groceries,,Lunch with company,128.0,Expense,,2.56,USD,128.0
2021-11-30,CUB - online payment,Groceries,,Breakfast,70.0,Expense,,1.4,USD,70.0
